dur1,dur2,dur3,dur4,dur5,label
363,554,421,0,0,O
497,536,505,0,0,O
464,577,566,0,0,O
712,736,629,0,0,O
627,698,483,0,0,O
564,611,470,0,0,O
541,689,533,0,0,O
532,622,626,0,0,O
604,616,645,0,0,O
732,610,585,0,0,O
570,557,485,0,0,O
498,529,456,0,0,O
287,434,371,0,0,O
525,561,623,0,0,O
543,651,471,0,0,O
545,634,700,0,0,O
577,713,592,0,0,O
693,624,603,0,0,O
934,777,605,0,0,O
594,736,565,0,0,O
616,575,401,0,0,O
638,616,456,0,0,O
565,646,556,0,0,O
556,636,607,0,0,O
535,582,592,0,0,O
646,621,594,0,0,O
723,653,762,0,0,O
1171,1250,764,0,0,O
1179,957,880,0,0,O
1059,1094,926,0,0,O
860,915,819,0,0,O
830,846,772,0,0,O
724,736,630,0,0,O
790,718,689,0,0,O
666,614,639,0,0,O
640,640,547,0,0,O
686,709,554,0,0,O
714,707,678,0,0,O
984,917,954,0,0,O
929,832,778,0,0,O
870,756,527,0,0,O
407,603,494,0,0,O
840,374,675,0,0,O
450,427,383,0,0,O
449,472,455,0,0,O
514,419,420,0,0,O
658,631,452,0,0,O
558,595,507,0,0,O
515,558,552,0,0,O
745,689,437,0,0,O
486,1107,991,0,0,O
993,683,839,0,0,O
143,876,798,0,0,O
613,662,636,0,0,O
512,615,637,0,0,O
470,148,474,0,0,O
577,500,673,0,0,O
588,439,549,0,0,O
646,545,423,0,0,O
488,476,389,0,0,O
392,445,460,0,0,O
471,398,437,0,0,O
448,294,443,0,0,O
431,358,419,0,0,O
398,197,483,0,0,O
457,378,446,0,0,O
546,470,427,0,0,O
645,586,431,0,0,O
984,861,1176,0,0,O
496,692,1063,0,0,O
449,709,886,0,0,O
919,429,407,0,0,O
1319,722,547,0,0,O
964,807,812,0,0,O

